code,name,latitude,longitude,yearid
6209,Milton / Clark,45.51252,-73.57061999999999,2014
6436,Côte St-Antoine / Clarke,45.48645209646392,-73.59523415565491,2014
6214,Square St-Louis,45.51735,-73.56906,2016
6248,St-Dominique / Rachel,45.518593,-73.58156600000001,2017
6164,Chambord / Laurier,45.5329550401632,-73.58419418334961,2014
6216,Parc Jeanne Mance (monument George-Étienne Cartier),45.514959999999995,-73.58503,2014
6082,6e avenue / Rosemont,45.550613,-73.582883,2017
6149,Chapleau / du Mont-Royal,45.53867,-73.56936,2014
6265,Parthenais / Laurier,45.539259,-73.577338,2016
6211,Roy / St-Laurent,45.515609999999995,-73.57569000000001,2014
6252,Mozart / St-Laurent,45.53318,-73.61544,2014
6233,Bernard / Jeanne-Mance,45.524295872822634,-73.60484719276428,2014
